2022-08-23 09:18:19,819 DEBUG [main] ed01.MultiBlockExceptionMain (MultiBlockExceptionMain.java:9)     - 프로그램 종료
2022-08-23 09:46:17,985 DEBUG [main] cmn.LoggerManger  (ThrowMain.java:10)     - 1
2022-08-23 09:46:17,987 DEBUG [main] cmn.LoggerManger  (ThrowMain.java:16)     - 3. 예외 발생
2022-08-23 09:46:17,988 DEBUG [main] cmn.LoggerManger  (ThrowMain.java:17)     - 3.1 : 예외 발생 시키기(의도적으로)
2022-08-23 09:46:17,988 DEBUG [main] cmn.LoggerManger  (ThrowMain.java:19)     - 프로그램 종료!
2022-08-23 09:48:29,669 DEBUG [main] cmn.LoggerManger  (ThrowMain.java:10)     - 1
2022-08-23 09:48:29,671 DEBUG [main] cmn.LoggerManger  (ThrowMain.java:16)     - 3. 예외 발생
2022-08-23 09:48:29,671 DEBUG [main] cmn.LoggerManger  (ThrowMain.java:17)     - 3.1 : 예외 발생 시키기(의도적으로)
2022-08-23 09:48:29,672 DEBUG [main] cmn.LoggerManger  (ThrowMain.java:19)     - 프로그램 종료!
[main] cmn.LoggerManger  (ThrowMain.java:10)     - 1
[main] cmn.LoggerManger  (ThrowMain.java:16)     - 3. 예외 발생
[main] cmn.LoggerManger  (ThrowMain.java:17)     - 3.1 : 예외 발생 시키기(의도적으로)
[main] cmn.LoggerManger  (ThrowMain.java:19)     - 프로그램 종료!
[main] cmn.LoggerManger  (ThrowMain.java:10)     - 1
[main] cmn.LoggerManger  (ThrowMain.java:16)     - 3. 예외 발생
[main] cmn.LoggerManger  (ThrowMain.java:17)     - 3.1 : 예외 발생 시키기(의도적으로)
[main] cmn.LoggerManger  (ThrowMain.java:19)     - 프로그램 종료!
[main] cmn.LoggerManger  (ThrowsMain.java:17)     - 1 ================
[main] cmn.LoggerManger  (ThrowsMain.java:11)     - methodPcwk()
[main] cmn.LoggerManger  (ThrowsMain.java:17)     - 1 ================
[main] cmn.LoggerManger  (ThrowsMain.java:11)     - methodPcwk()
[main] cmn.LoggerManger  (ThrowsMain.java:21)     - Exception : methodPcwk 예외 발생
[main] cmn.LoggerManger  (ThrowsMain.java:23)     - 2 End=============
[main] cmn.LoggerManger  (UserException.java:10)     - ticketing() : -9
[main] cmn.LoggerManger  (UserException.java:19)     - main KoreaException 
[main] cmn.LoggerManger  (UserException.java:20)     - getMessage : 나이를 확인 하세요.
나이는 > 0
[main] cmn.LoggerManger  (TryWithResource.java:16)     - 1
[main] cmn.LoggerManger  (TryWithResource.java:34)     - 프로그램 종료
[main] cmn.LoggerManger  (TryWithResource.java:16)     - 1
[main] cmn.LoggerManger  (TryWithResource.java:19)     - 2
[main] cmn.LoggerManger  (TryWithResource.java:22)     - 2.1
[main] cmn.LoggerManger  (TryWithResource.java:36)     - 프로그램 종료
[main] cmn.LoggerManger  (TryWithResource.java:16)     - 1
[main] cmn.LoggerManger  (TryWithResource.java:19)     - 2
[main] cmn.LoggerManger  (TryWithResource.java:25)     - 3 FileNotFoundException : C:\DCOM_0725\03_JAVA\WorkSpace2\J10\src\com\pcwk\ehr\ed05\autocloseable\TryWithResource1.java (지정된 파일을 찾을 수 없습니다)
[main] cmn.LoggerManger  (TryWithResource.java:16)     - 1
[main] cmn.LoggerManger  (TryWithResource.java:19)     - 2
[main] cmn.LoggerManger  (TryWithResource.java:25)     - 3 FileNotFoundException : C:\DCOM_0725\03_JAVA\WorkSpace2\J10\src\com\pcwk\ehr\ed05\autocloseable\TryWithResource1.java (지정된 파일을 찾을 수 없습니다)
[main] cmn.LoggerManger  (TryWithResource.java:38)     - 프로그램 종료
[main] cmn.LoggerManger  (TryWithResource2.java:16)     - 1
[main] cmn.LoggerManger  (TryWithResource2.java:23)     - 3 FileNotFoundException : C:\DCOM_0725\03_JAVA\WorkSpace2\J10\src\com\pcwk\ehr\ed05\autocloseable\TryWithResource1.java (지정된 파일을 찾을 수 없습니다)
[main] cmn.LoggerManger  (TryWithResource2.java:27)     - 프로그램 종료
[main] cmn.LoggerManger  (TryWithResource2.java:17)     - 1
[main] cmn.LoggerManger  (TryWithResource2.java:26)     - 3 FileNotFoundException : C:\DCOM_0725\03_JAVA\WorkSpace2\J10\src\com\pcwk\ehr\ed05\autocloseable\TryWithResource1.java (지정된 파일을 찾을 수 없습니다)
[main] cmn.LoggerManger  (TryWithResource2.java:30)     - 프로그램 종료
[main] cmn.LoggerManger  (TryWithResource2.java:17)     - 1
[main] cmn.LoggerManger  (TryWithResource2.java:21)     - 2
[main] cmn.LoggerManger  (TryWithResource2.java:23)     - 2.1
[main] cmn.LoggerManger  (TryWithResource2.java:30)     - 프로그램 종료
